text	ref	p_Id	body_Id
"Richardson Rink, Shawville"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	10	
"Richardson Rink, Shawville"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	10	
"Shawville,Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
"Shawville Rink, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
"Shawville,Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
Clarendon	https://tools.wmflabs.org/geohack/geohack.php?pagename=Clarendon%2C_Quebec&params=45_39_N_76_31_W_region:CA-QC_type:city(1183)	10	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	10	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	11	
Ladysmith 	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ladysmith%2C_British_Columbia&params=48_59_51_N_123_49_13_W_scale:60000	11	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	11	
"Rockliffe Park, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Rockcliffe_Park%2C_Ontario&params=45_27_00_N_75_40_45_W_region:CA-ON_type:city(1932) 	11	
"Oshawa,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Oshawa&params=43_54_N_78_51_W_type:city_region:CA-ON	11	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	11	
