text	ref	p_Id	body_Id
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	53	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	54	
"Waltham, Quebec "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Waltham%2C_Quebec&params=45_55_N_76_55_W_region:CA-QC_type:city(384)	55	
"Braeside, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=McNab%2FBraeside&params=45_27_N_76_30_W_region:CA-ON_type:city(7371)	55	
"Arnprior,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Arnprior&params=45_26_N_76_21_W_region:CA-ON_type:city(10426)]	55	
"Saint-Eustache, Quebec "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Saint-Eustache%2C_Quebec&params=45_34_N_73_54_W_region:CA-QC_type:city(44154))	55	
"Stratford, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Stratford%2C_Ontario&params=43_22_15_N_80_58_55_W_region:CA-ON_type:city(31465)	55	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	55	
"Gatineau, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Gatineau&params=45_29_N_75_39_W_region:CA-QC_type:city(276245)\n	55	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	55	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)\n	55	
"Westmeath, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Westmeath_Provincial_Park&params=45_47_42_N_76_54_35_W_type:landmark\n	55	
"Renfrew, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Renfrew%2C_Ontario&params=45_28_18_N_76_40_59_W_region:CA-ON_type:city(8218)	55	
"Oshawa,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Oshawa&params=43_54_N_78_51_W_type:city_region:CA-ON	55	
"Pembroke, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pembroke%2C_Ontario&params=45_49_N_77_07_W_region:CA_type:city	55	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	55	
"Hungtingdon, Ontario "	"https://en.wikipedia.org/wiki/Huntingdon_County,_Quebec"	55	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	55	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	55	
"Sudbury, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Greater_Sudbury&params=46_29_24_N_81_00_36_W_region:CA-ON_type:city	55	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	55	
"Barry’s Bay, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Barry%27s_Bay&params=45.483_N_77.683_W_type:city_region:CA_source:GNS-enwiki	55	
"Hull, Quebec "	"hhttps://en.wikipedia.org/wiki/Hull,_Quebec"	55	
"Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Toronto&params=43_42_N_79_24_W_region:CA-ON_type:city	57	
"Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Toronto&params=43_42_N_79_24_W_region:CA-ON_type:city	57	
"Winchester, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=North_Dundas%2C_Ontario&params=45_05_N_75_21_W_region:CA-ON_type:city(11225)	57	
"Renfrew, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Renfrew%2C_Ontario&params=45_28_18_N_76_40_59_W_region:CA-ON_type:city(8218)	57	
"Arnprior,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Arnprior&params=45_26_N_76_21_W_region:CA-ON_type:city(10426)	57	
"Saint-Eustache, Quebec "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Saint-Eustache%2C_Quebec&params=45_34_N_73_54_W_region:CA-QC_type:city(44154))	57	
"Ladysmith, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Thorne%2C_Quebec&params=45_45_N_76_26_W_region:CA-QC_type:city(292))	58	
"Pembroke, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pembroke%2C_Ontario&params=45_49_N_77_07_W_region:CA_type:city	59	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	59	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	59	
"Georgetown, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Georgetown%2C_Ontario&params=43_38_49_N_79_54_36_W_region:CA-ON_type:city(42123)	59	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	59	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	59	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	61	
"Halton, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Regional_Municipality_of_Halton&params=43_28_N_79_52_W_region:CA-ON_type:city(548435)	61	
"Litchfield, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Litchfield%2C_Quebec&params=45_45_N_76_35_W_region:CA-QC_type:city(456)	61	
"University of Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=University_of_Toronto&params=43_39_42_N_79_23_42_W_region:CA-ON_type:edu	61	
"Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Toronto&params=43_42_N_79_24_W_region:CA-ON_type:city	61	
"University of Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=University_of_Toronto&params=43_39_42_N_79_23_42_W_region:CA-ON_type:edu	61	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	61	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	62	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	62	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	62	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	62	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	62	
"Pembroke, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pembroke%2C_Ontario&params=45_49_N_77_07_W_region:CA_type:city	63	
"Lucerne, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	64	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	67	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	67	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	68	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	68	
Coulonge River	https://tools.wmflabs.org/geohack/geohack.php?pagename=Coulonge_River&params=45_51_44_N_76_45_54_W_region:CA-QC_type:river)	68	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	68	
Clarendon	https://tools.wmflabs.org/geohack/geohack.php?pagename=Clarendon%2C_Quebec&params=45_39_N_76_31_W_region:CA-QC_type:city(1183)	68	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	68	
"Onslow North, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki\n&title=Quyon%2C+Quebec	68	
"Onslow South, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki\n&title=Quyon%2C+Quebec	68	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki\n&title=Quyon%2C+Quebec	68	
"Aldield, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	68	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	68	
"Gatineau, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Gatineau&params=45_29_N_75_39_W_region:CA-QC_type:city(276245)	68	
"Templeton, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Hull_County%2C_Quebec&params=45_40_N_75_35_W_region:CA	68	
"Thurso, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Thurso%2C_Quebec&params=45_36_N_75_15_W_region:CA-QC_type:city(2455)	68	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	68	
" Masonic Hall Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec\n&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	68	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec\n&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	68	
"North Bay, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=North_Bay%2C_Ontario&params=46_18_N_79_27_W_region:CA-ON_type:city(51553)	69	
"North Bay, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=North_Bay%2C_Ontario&params=46_18_N_79_27_W_region:CA-ON_type:city(51553)	69	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	69	
"North Bay, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=North_Bay%2C_Ontario&params=46_18_N_79_27_W_region:CA-ON_type:city(51553)	69	
"Victoria, British Columbia "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Victoria%2C_British_Columbia&params=48.422_N_-123.365_E_region:CA-BC_type:city&title=Victoria	69	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	69	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	69	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	69	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	70	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	70	
"Cobourg, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Cobourg&params=43_58_N_78_10_W_region:CA-ON_type:city(19440)	70	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	70	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	70	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	70	
"Toronto,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Toronto&params=43_42_N_79_24_W_region:CA-ON_type:city	70	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	70	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	70	
"Oshawa,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Oshawa&params=43_54_N_78_51_W_type:city_region:CA-ON	70	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	70	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	70	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	70	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	71	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	71	
"Renfrew, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Renfrew%2C_Ontario&params=45_28_18_N_76_40_59_W_region:CA-ON_type:city(8218)	72	
"Lucerne, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	73	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	76	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	76	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	76	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	76	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	76	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	76	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	76	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	76	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	76	
"Fort Coulonge, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Fort-Coulonge&params=45_51_N_76_44_W_region:CA-QC_type:city(1377)	76	
"Fort Coulonge, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Fort-Coulonge&params=45_51_N_76_44_W_region:CA-QC_type:city(1377)	76	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	76	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	76	
Charetis	https://tools.wmflabs.org/geohack/geohack.php?pagename=Clarendon%2C_Quebec&params=45_39_N_76_31_W_region:CA-QC_type:city(1183)	76	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	76	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	76	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	76	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	76	
"Eardley, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	76	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	76	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	76	
"Aylmer, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aylmer%2C_Quebec&params=45_24_00_N_75_51_00_W_region:CA-QC_type:city(55113)	76	
"Wolf Lake, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Wolf_Lake_%28Ontario%29&params=46_51_09_N_80_38_06_W_region:CA-AB_type:waterbody	76	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	76	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	76	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	77	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N _76_29_W_region:CA-QC_type:city(1664)	77	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	78	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	79	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	80	
"McGill University, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=McGill_University&params=45_30_15_N_73_34_29_W_region:CA-QC_type:edu	81	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	81	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	82	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	83	
"Hull, Quebec "	"hhttps://en.wikipedia.org/wiki/Hull,_Quebec"	83	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	84	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	85	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	86	
"Wyman, Quebec"	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	87	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	88	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	89	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	90	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	91	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	92	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	93	
"Hull, Quebec "	"hhttps://en.wikipedia.org/wiki/Hull,_Quebec"	93	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)		0
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	94	
"Ladysmith, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Thorne%2C_Quebec&params=45_45_N_76_26_W_region:CA-QC_type:city(292))	95	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	96	
"Renfrew, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Renfrew%2C_Ontario&params=45_28_18_N_76_40_59_W_region:CA-ON_type:city(8218)	97	
